n,d,Q,R,sspl_lb,bdr,srt,mgr,sspl,edge,node,time
14,3,2,4,378,cycle,basic,basic,378,43,3508,0.012056
16,3,2,6,528,cycle,basic,basic,528,64,321233,1.30864
5,4,1,0,20,cycle,basic,basic,20,6,7,5.8e-05
6,4,1,1,36,cycle,basic,basic,36,8,15,8.1e-05
7,4,1,2,56,cycle,basic,basic,56,13,59,0.000191
8,4,1,3,80,cycle,basic,basic,80,19,203,0.000594
9,4,1,4,108,cycle,basic,basic,108,26,269,0.000793
10,4,1,5,140,cycle,basic,basic,140,34,15209,0.147027
16,3,2,6,528,basic,basic,minmax,528,66,76427,2.07511
4,3,1,0,12,cycle,basic,matrix,12,3,4,3e-05
6,3,1,2,42,cycle,basic,matrix,42,8,22,0.000196
8,3,1,4,88,cycle,basic,matrix,88,19,84,0.000724
10,3,2,0,150,cycle,basic,matrix,150,15,16,0.000174
12,3,2,2,252,cycle,basic,matrix,252,26,130,0.00188
14,3,2,4,378,cycle,basic,matrix,378,43,1837,0.073416
16,3,2,6,528,cycle,basic,matrix,528,64,10649,0.352342
5,4,1,0,20,cycle,basic,matrix,20,6,7,4.8e-05
6,4,1,1,36,cycle,basic,matrix,36,8,15,0.000109
7,4,1,2,56,cycle,basic,matrix,56,13,58,0.000423
8,4,1,3,80,cycle,basic,matrix,80,19,126,0.001079
9,4,1,4,108,cycle,basic,matrix,108,26,60,0.000622
10,4,1,5,140,cycle,basic,matrix,140,34,376,0.004245
11,4,1,6,176,cycle,basic,matrix,176,43,797,0.010235
4,3,1,0,12,cycle,basic,minmax,12,3,4,4.7e-05
6,3,1,2,42,cycle,basic,minmax,42,8,22,0.000195
8,3,1,4,88,cycle,basic,minmax,88,19,84,0.000996
10,3,2,0,150,cycle,basic,minmax,150,15,16,0.000304
12,3,2,2,252,cycle,basic,minmax,252,26,130,0.001962
14,3,2,4,378,cycle,basic,minmax,378,43,1837,0.112923
11,4,1,6,176,cycle,basic,basic,176,43,316868,1.22731
5,4,1,0,20,cycle,basic,minmax,20,6,7,7.9e-05
6,4,1,1,36,cycle,basic,minmax,36,8,15,0.000155
7,4,1,2,56,cycle,basic,minmax,56,13,58,0.000553
8,4,1,3,80,cycle,basic,minmax,80,19,126,0.00136
9,4,1,4,108,cycle,basic,minmax,108,26,60,0.002887
16,3,2,6,528,cycle,basic,minmax,528,64,10649,0.371714
10,4,1,5,140,cycle,basic,minmax,140,34,376,0.015223
11,4,1,6,176,cycle,basic,minmax,176,43,797,0.029429
4,3,1,0,12,stree,basic,basic,12,3,4,5.2e-05
6,3,1,2,42,stree,basic,basic,42,8,9,5.4e-05
10,3,2,0,150,stree,basic,basic,150,15,16,8.7e-05
8,3,1,4,88,stree,basic,basic,88,13,16,7.6e-05
12,3,2,2,252,stree,basic,basic,252,26,27,0.000141
14,3,2,4,378,stree,basic,basic,378,41,58,0.000252
16,3,2,6,528,stree,basic,basic,528,60,184,0.000835
5,4,1,0,20,stree,basic,basic,20,6,7,6.6e-05
6,4,1,1,36,stree,basic,basic,36,9,23,0.000103
7,4,1,2,56,stree,basic,basic,56,13,45,0.000156
8,4,1,3,80,stree,basic,basic,80,18,19,0.000116
9,4,1,4,108,stree,basic,basic,108,24,38,0.00014
